# Sweep Manifest - 500 expected runs (2 boundaries Ã— 5 modes Ã— 50 seeds)
# Format: boundary,mode,seed,status,path

zero,passive_nopersist,11,OK,outputs_sweep50\passive_nopersist_zero_seed11\metrics.csv
zero,passive_persist,11,OK,outputs_sweep50\passive_persist_zero_seed11\metrics.csv
zero,active_persist,11,OK,outputs_sweep50\active_persist_zero_seed11\metrics.csv
zero,active_random,11,OK,outputs_sweep50\active_random_zero_seed11\metrics.csv
wrap,object_off_tracked,11,OK,outputs_sweep50\object_off_tracked_wrap_seed11\metrics.csv
wrap,passive_nopersist,11,OK,outputs_sweep50\passive_nopersist_wrap_seed11\metrics.csv
wrap,passive_persist,11,OK,outputs_sweep50\passive_persist_wrap_seed11\metrics.csv
wrap,active_persist,11,OK,outputs_sweep50\active_persist_wrap_seed11\metrics.csv
wrap,active_random,11,OK,outputs_sweep50\active_random_wrap_seed11\metrics.csv
zero,object_off_tracked,12,OK,outputs_sweep50\object_off_tracked_zero_seed12\metrics.csv
zero,passive_nopersist,12,OK,outputs_sweep50\passive_nopersist_zero_seed12\metrics.csv
zero,passive_persist,12,OK,outputs_sweep50\passive_persist_zero_seed12\metrics.csv
zero,active_persist,12,OK,outputs_sweep50\active_persist_zero_seed12\metrics.csv
zero,active_random,12,OK,outputs_sweep50\active_random_zero_seed12\metrics.csv
wrap,object_off_tracked,12,OK,outputs_sweep50\object_off_tracked_wrap_seed12\metrics.csv
wrap,passive_nopersist,12,OK,outputs_sweep50\passive_nopersist_wrap_seed12\metrics.csv
wrap,passive_persist,12,OK,outputs_sweep50\passive_persist_wrap_seed12\metrics.csv
wrap,active_persist,12,OK,outputs_sweep50\active_persist_wrap_seed12\metrics.csv
wrap,active_random,12,OK,outputs_sweep50\active_random_wrap_seed12\metrics.csv
zero,object_off_tracked,13,OK,outputs_sweep50\object_off_tracked_zero_seed13\metrics.csv
zero,passive_nopersist,13,OK,outputs_sweep50\passive_nopersist_zero_seed13\metrics.csv
zero,passive_persist,13,OK,outputs_sweep50\passive_persist_zero_seed13\metrics.csv
zero,active_persist,13,OK,outputs_sweep50\active_persist_zero_seed13\metrics.csv
zero,active_random,13,OK,outputs_sweep50\active_random_zero_seed13\metrics.csv
wrap,object_off_tracked,13,OK,outputs_sweep50\object_off_tracked_wrap_seed13\metrics.csv
wrap,passive_nopersist,13,OK,outputs_sweep50\passive_nopersist_wrap_seed13\metrics.csv
wrap,passive_persist,13,OK,outputs_sweep50\passive_persist_wrap_seed13\metrics.csv
wrap,active_persist,13,OK,outputs_sweep50\active_persist_wrap_seed13\metrics.csv
wrap,active_random,13,OK,outputs_sweep50\active_random_wrap_seed13\metrics.csv
zero,object_off_tracked,14,OK,outputs_sweep50\object_off_tracked_zero_seed14\metrics.csv
zero,passive_nopersist,14,OK,outputs_sweep50\passive_nopersist_zero_seed14\metrics.csv
zero,passive_persist,14,OK,outputs_sweep50\passive_persist_zero_seed14\metrics.csv
zero,active_persist,14,OK,outputs_sweep50\active_persist_zero_seed14\metrics.csv
zero,active_random,14,OK,outputs_sweep50\active_random_zero_seed14\metrics.csv
wrap,object_off_tracked,14,OK,outputs_sweep50\object_off_tracked_wrap_seed14\metrics.csv
wrap,passive_nopersist,14,OK,outputs_sweep50\passive_nopersist_wrap_seed14\metrics.csv
