tag,boundary_mode,observer_mode,mode,seed,final_identity_score,mean_identity_score,final_core_size_delta,mean_recovery_150_250,mean_observer_action_rate
passive_nopersist_zero_seed7,zero,passive_nopersist,passive_nopersist,7,0.0,0.0004596705766090496,2.0,9.52,0.0
passive_persist_zero_seed7,zero,passive_persist,passive_persist,7,0.9855421686746988,0.6870597388106358,230.0,144.51,0.0
active_persist_zero_seed7,zero,active_persist,active_persist,7,0.16224188790560473,0.7030335798163521,-78.0,-59.75,0.049671292914536154
active_random_zero_seed7,zero,active_random,active_random,7,0.0,0.00010827141764240609,6.0,15.22,0.049671292914536154
object_off_tracked_wrap_seed7,wrap,object_off_tracked,object_off_tracked,7,0.6045122760451228,0.6151853699171503,-945.0,-511.28,0.0
passive_nopersist_wrap_seed7,wrap,passive_nopersist,passive_nopersist,7,0.0,0.00021635760298322667,-276.0,-268.3,0.0
passive_persist_wrap_seed7,wrap,passive_persist,passive_persist,7,0.5,0.6768972181789646,-263.0,36.1,0.0
active_persist_wrap_seed7,wrap,active_persist,active_persist,7,0.9128978224455612,0.6812619495858309,366.0,131.48,0.049671292914536154
active_random_wrap_seed7,wrap,active_random,active_random,7,0.0,0.00035817055191034007,190.0,7.93,0.049671292914536154
object_off_tracked_zero_seed8,zero,object_off_tracked,object_off_tracked,8,0.31642066420664205,0.649923616470717,575.0,1742.41,0.0
passive_nopersist_zero_seed8,zero,passive_nopersist,passive_nopersist,8,0.0,0.0001558538404175988,-3.0,2.55,0.0
passive_persist_zero_seed8,zero,passive_persist,passive_persist,8,0.14519056261343014,0.6862850430641996,316.0,103.49,0.0
active_persist_zero_seed8,zero,active_persist,active_persist,8,0.9050445103857567,0.7128261941463099,-119.0,-51.21,0.049671292914536154
active_random_zero_seed8,zero,active_random,active_random,8,0.0,4.142767496176132e-05,1.0,1.48,0.049671292914536154
object_off_tracked_wrap_seed8,wrap,object_off_tracked,object_off_tracked,8,0.14845631705714912,0.6011229982661991,1848.0,-787.35,0.0
passive_nopersist_wrap_seed8,wrap,passive_nopersist,passive_nopersist,8,0.0,3.188961607403393e-05,5.0,11.54,0.0
passive_persist_wrap_seed8,wrap,passive_persist,passive_persist,8,0.3815028901734104,0.6717440428514175,-73.0,67.86,0.0
active_persist_wrap_seed8,wrap,active_persist,active_persist,8,0.5927536231884057,0.7170171885397477,630.0,311.92,0.049671292914536154
active_random_wrap_seed8,wrap,active_random,active_random,8,0.0,0.00015474088954367475,-1.0,2.18,0.049671292914536154
