tag,boundary_mode,observer_mode,seed,metrics_path
seed7_zero_off_tracked,zero,off_tracked,7,outputs\20251217_110015_seed7_zero_off_tracked\metrics.csv
seed7_zero_passive_nopersist,zero,passive_nopersist,7,outputs\20251217_110015_seed7_zero_passive_nopersist\metrics.csv
seed7_zero_passive_persist,zero,passive_persist,7,outputs\20251217_110015_seed7_zero_passive_persist\metrics.csv
seed7_zero_active_persist,zero,active_persist,7,outputs\20251217_110015_seed7_zero_active_persist\metrics.csv
seed7_wrap_off_tracked,wrap,off_tracked,7,outputs\20251217_110015_seed7_wrap_off_tracked\metrics.csv
seed7_wrap_passive_nopersist,wrap,passive_nopersist,7,outputs\20251217_110015_seed7_wrap_passive_nopersist\metrics.csv
seed7_wrap_passive_persist,wrap,passive_persist,7,outputs\20251217_110015_seed7_wrap_passive_persist\metrics.csv
seed7_wrap_active_persist,wrap,active_persist,7,outputs\20251217_110015_seed7_wrap_active_persist\metrics.csv
seed8_zero_off_tracked,zero,off_tracked,8,outputs\20251217_110015_seed8_zero_off_tracked\metrics.csv
seed8_zero_passive_nopersist,zero,passive_nopersist,8,outputs\20251217_110015_seed8_zero_passive_nopersist\metrics.csv
seed8_zero_passive_persist,zero,passive_persist,8,outputs\20251217_110015_seed8_zero_passive_persist\metrics.csv
seed8_zero_active_persist,zero,active_persist,8,outputs\20251217_110015_seed8_zero_active_persist\metrics.csv
seed8_wrap_off_tracked,wrap,off_tracked,8,outputs\20251217_110015_seed8_wrap_off_tracked\metrics.csv
seed8_wrap_passive_nopersist,wrap,passive_nopersist,8,outputs\20251217_110015_seed8_wrap_passive_nopersist\metrics.csv
seed8_wrap_passive_persist,wrap,passive_persist,8,outputs\20251217_110015_seed8_wrap_passive_persist\metrics.csv
seed8_wrap_active_persist,wrap,active_persist,8,outputs\20251217_110015_seed8_wrap_active_persist\metrics.csv
seed9_zero_off_tracked,zero,off_tracked,9,outputs\20251217_110015_seed9_zero_off_tracked\metrics.csv
seed9_zero_passive_nopersist,zero,passive_nopersist,9,outputs\20251217_110015_seed9_zero_passive_nopersist\metrics.csv
seed9_zero_passive_persist,zero,passive_persist,9,outputs\20251217_110015_seed9_zero_passive_persist\metrics.csv
seed9_zero_active_persist,zero,active_persist,9,outputs\20251217_110015_seed9_zero_active_persist\metrics.csv
seed9_wrap_off_tracked,wrap,off_tracked,9,outputs\20251217_110015_seed9_wrap_off_tracked\metrics.csv
seed9_wrap_passive_nopersist,wrap,passive_nopersist,9,outputs\20251217_110015_seed9_wrap_passive_nopersist\metrics.csv
seed9_wrap_passive_persist,wrap,passive_persist,9,outputs\20251217_110015_seed9_wrap_passive_persist\metrics.csv
seed9_wrap_active_persist,wrap,active_persist,9,outputs\20251217_110015_seed9_wrap_active_persist\metrics.csv
seed10_zero_off_tracked,zero,off_tracked,10,outputs\20251217_110015_seed10_zero_off_tracked\metrics.csv
seed10_zero_passive_nopersist,zero,passive_nopersist,10,outputs\20251217_110015_seed10_zero_passive_nopersist\metrics.csv
seed10_zero_passive_persist,zero,passive_persist,10,outputs\20251217_110015_seed10_zero_passive_persist\metrics.csv
seed10_zero_active_persist,zero,active_persist,10,outputs\20251217_110015_seed10_zero_active_persist\metrics.csv
seed10_wrap_off_tracked,wrap,off_tracked,10,outputs\20251217_110015_seed10_wrap_off_tracked\metrics.csv
seed10_wrap_passive_nopersist,wrap,passive_nopersist,10,outputs\20251217_110015_seed10_wrap_passive_nopersist\metrics.csv
seed10_wrap_passive_persist,wrap,passive_persist,10,outputs\20251217_110015_seed10_wrap_passive_persist\metrics.csv
seed10_wrap_active_persist,wrap,active_persist,10,outputs\20251217_110015_seed10_wrap_active_persist\metrics.csv
seed11_zero_off_tracked,zero,off_tracked,11,outputs\20251217_110015_seed11_zero_off_tracked\metrics.csv
seed11_zero_passive_nopersist,zero,passive_nopersist,11,outputs\20251217_110015_seed11_zero_passive_nopersist\metrics.csv
seed11_zero_passive_persist,zero,passive_persist,11,outputs\20251217_110015_seed11_zero_passive_persist\metrics.csv
